AvalonEdit;6.3.0.90
Azure.Identity;1.12.0
CommunityToolkit.Mvvm;8.2.2
Dapper;2.1.44
MahApps.Metro;2.4.10
MahApps.Metro.IconPacks.Material;5.0.0
MahApps.Metro.IconPacks.PixelartIcons;5.0.0
Markdig;0.37.0
Microsoft-WindowsAPICodePack-Shell;1.1.5
Microsoft.EntityFrameworkCore.Sqlite;8.0.7
Microsoft.EntityFrameworkCore.Tools;8.0.7
Microsoft.SqlServer.Management.SqlParser;172.0.1
Microsoft.SqlServer.SqlManagementObjects;171.30.0
Microsoft.VisualStudio.Threading;17.10.48
Newtonsoft.Json;13.0.3
RestSharp;111.4.0
RestSharp.Serializers.NewtonsoftJson;111.4.0
Serilog.Sinks.File;6.0.0
System.Formats.Asn1;8.0.1
System.IdentityModel.Tokens.Jwt;8.0.0
ZimLabs.CoreLib;2.3.0
ZimLabs.Mapper;1.1.0
ZimLabs.TableCreator;2.1.1
